time	fh20	fch4	fco2	fother	fco
0.0856755290642	0.0519185186009	0.00322866526882	0.0490051674144	0.00589337582064	0.0119467238885	
0.0873755290642	0.0526259967751	0.00335831387704	0.0493412073088	0.00613920233416	0.0124234195817	
0.0890755290642	0.053323752514	0.00348717227807	0.0496751402312	0.00638371532652	0.0128980083497	
0.0907755290642	0.0540119194271	0.00361524528822	0.0500069793924	0.00662692181623	0.0133704995048	
0.0924755290642	0.0546906292878	0.00374253769444	0.0503367379202	0.0068688287843	0.0138409023181	
0.0940755290642	0.0553208924864	0.00386163349578	0.0506452099243	0.00709532504362	0.0142817349553	
0.0957755290642	0.0559816139395	0.00398742416793	0.0509709667431	0.00733472919967	0.0147481102414	
0.0974755290642	0.0566332555061	0.00411244814697	0.051294681065	0.00757285415103	0.0152124242169	
0.0991755290642	0.0572759419655	0.0042367101059	0.0516163656962	0.00780970673287	0.0156746859927	
0.100875529064	0.0579097963821	0.00436021468922	0.0519360333631	0.00804529374382	0.0161349046391	
0.102575529064	0.0585349401294	0.00448296651314	0.0522536967119	0.00827962194618	0.0165930891864	
0.104275529064	0.0591514929126	0.00460497016571	0.0525693683098	0.00851269806613	0.0170492486251	
0.105975529064	0.059759572792	0.00472623020704	0.052883060645	0.0087445287939	0.0175033919058	
0.107675529064	0.0603592962056	0.00484675116942	0.0531947861276	0.00897512078397	0.0179555279397	
0.109275529064	0.0609162110506	0.00495951155332	0.0534863891529	0.00919102288715	0.0183792420727	
0.110975529064	0.0615000394996	0.00507861066784	0.0537943317624	0.00941922913195	0.018827506977	
0.112675529064	0.0620758447551	0.00519698387424	0.0541003435701	0.00964621600571	0.0192737906162	
0.114375529064	0.0626437370749	0.00531463559694	0.054404436682	0.00987199002386	0.0197181017469	
0.116075529064	0.0632038252017	0.00543157023336	0.0547066231285	0.010096557667	0.0201604490875	
0.117775529064	0.0637562163835	0.00554779215415	0.0550069148643	0.0103199253813	0.0206008413176	
0.119475529064	0.0643010163948	0.0056633057033	0.0553053237692	0.0105420995781	0.0210392870785	
0.121175529064	0.0648383295563	0.00577811519832	0.0556018616487	0.0107630866348	0.0214757949733	
